2016-09-12 11:10:11,578 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Inititalizing robot Vision System
2016-09-12 11:10:11,585 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Initializing cameras ...
2016-09-12 11:10:11,589 DEBUG [Vision] [dmitry.ra@LAP465] [FUNCTION] [FILE:0] Cameras successfully initialized.
2016-09-12 11:10:18,257 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=46, row=13, disparity=22
2016-09-12 11:10:18,262 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=47, row=13, disparity=22
2016-09-12 11:10:18,266 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=48, row=13, disparity=22
2016-09-12 11:10:18,276 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=70, row=44, disparity=22
2016-09-12 11:10:18,280 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=112, row=79, disparity=25
2016-09-12 11:10:18,284 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=112, row=80, disparity=25
2016-09-12 11:10:18,287 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=113, row=79, disparity=26
2016-09-12 11:10:18,290 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=113, row=80, disparity=26
2016-09-12 11:10:18,294 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=118, row=73, disparity=22
2016-09-12 11:10:18,298 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=73, disparity=22
2016-09-12 11:10:18,302 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=119, row=74, disparity=22
2016-09-12 11:10:18,308 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=74, disparity=22
2016-09-12 11:10:18,316 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=75, disparity=22
2016-09-12 11:10:18,320 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=120, row=76, disparity=22
2016-09-12 11:10:18,326 TRACE [Vision] [FUNCTION] [FILE:0] Match found: col=121, row=75, disparity=22
